Province_State,Country_Region,Lat,Long,ISO_3166,Region_Code,Region_Name,Sub_region_Code,Sub_region_Name
,India,20.593684,78.96288,IND,142,Asia,34,Southern Asia
,Indonesia,-0.7893,113.9213,IDN,142,Asia,35,South-eastern Asia
,Iran,32.427908,53.688046,IRN,142,Asia,34,Southern Asia
,Iraq,33.223191,43.679291,IRQ,142,Asia,145,Western Asia
,Ireland,53.1424,-7.6921,IRL,150,Europe,154,Northern Europe
,Israel,31.046051,34.851612,ISR,142,Asia,145,Western Asia
,Italy,41.87194,12.56738,ITA,150,Europe,39,Southern Europe
,Jamaica,18.1096,-77.2975,JAM,19,Americas,419,Latin America and the Caribbean
,Japan,36.204824,138.252924,JPN,142,Asia,30,Eastern Asia
,Jordan,31.24,36.51,JOR,142,Asia,145,Western Asia
,Kazakhstan,48.0196,66.9237,KAZ,142,Asia,143,Central Asia
,Kenya,-0.0236,37.9062,KEN,2,Africa,202,Sub-Saharan Africa
,Kiribati,-3.3704,-168.734,KIR,9,Oceania,57,Micronesia
,"Korea, South",35.907757,127.766922,KOR,142,Asia,30,Eastern Asia
,Kosovo,42.602636,20.902977,RKS,150,Europe,39,Southern Europe
,Kuwait,29.31166,47.481766,KWT,142,Asia,145,Western Asia
,Kyrgyzstan,41.20438,74.766098,KGZ,142,Asia,143,Central Asia
,Laos,19.85627,102.495496,LAO,142,Asia,35,South-eastern Asia
,Latvia,56.8796,24.6032,LVA,150,Europe,154,Northern Europe
,Lebanon,33.8547,35.8623,LBN,142,Asia,145,Western Asia
,Lesotho,-29.61,28.2336,LSO,2,Africa,202,Sub-Saharan Africa
,Liberia,6.428055,-9.429499,LBR,2,Africa,202,Sub-Saharan Africa
,Libya,26.3351,17.228331,LBY,2,Africa,15,Northern Africa
,Liechtenstein,47.14,9.55,LIE,150,Europe,155,Western Europe
,Lithuania,55.1694,23.8813,LTU,150,Europe,154,Northern Europe
,Luxembourg,49.8153,6.1296,LUX,150,Europe,155,Western Europe
,MS Zaandam,0,0,,,,,
,Madagascar,-18.766947,46.869107,MDG,2,Africa,202,Sub-Saharan Africa
,Malawi,-13.2543,34.3015,MWI,2,Africa,202,Sub-Saharan Africa
,Malaysia,4.210484,101.975766,MYS,142,Asia,35,South-eastern Asia
,Maldives,3.2028,73.2207,MDV,142,Asia,34,Southern Asia
,Mali,17.570692,-3.996166,MLI,2,Africa,202,Sub-Saharan Africa
,Malta,35.9375,14.3754,MLT,150,Europe,39,Southern Europe
,Marshall Islands,7.1315,171.1845,MHL,9,Oceania,57,Micronesia
,Mauritania,21.0079,-10.9408,MRT,2,Africa,202,Sub-Saharan Africa
,Mauritius,-20.348404,57.552152,MUS,2,Africa,202,Sub-Saharan Africa
,Mexico,23.6345,-102.5528,MEX,19,Americas,419,Latin America and the Caribbean
,Micronesia,7.4256,150.5508,,,,,
,Moldova,47.4116,28.3699,MDA,150,Europe,151,Eastern Europe
,Monaco,43.7333,7.4167,MCO,150,Europe,155,Western Europe
,Mongolia,46.8625,103.8467,MNG,142,Asia,30,Eastern Asia
,Montenegro,42.708678,19.37439,MNE,150,Europe,39,Southern Europe
,Morocco,31.7917,-7.0926,MAR,2,Africa,15,Northern Africa
,Mozambique,-18.665695,35.529562,MOZ,2,Africa,202,Sub-Saharan Africa
,Namibia,-22.9576,18.4904,NAM,2,Africa,202,Sub-Saharan Africa
,Nepal,28.1667,84.25,NPL,142,Asia,34,Southern Asia
Aruba,Netherlands,12.5211,-69.9683,ABW,19,Americas,419,Latin America and the Caribbean
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,BES,19,Americas,419,Latin America and the Caribbean
Curacao,Netherlands,12.1696,-68.99,CUW,19,Americas,419,Latin America and the Caribbean
Sint Maarten,Netherlands,18.0425,-63.0548,SXM,19,Americas,419,Latin America and the Caribbean
,Netherlands,52.1326,5.2913,NLD,150,Europe,155,Western Europe
Cook Islands,New Zealand,-21.2367,-159.7777,COK,9,Oceania,61,Polynesia
,New Zealand,-40.9006,174.886,NZL,9,Oceania,53,Australia and New Zealand
,Nicaragua,12.865416,-85.207229,NIC,19,Americas,419,Latin America and the Caribbean
,Niger,17.607789,8.081666,NER,2,Africa,202,Sub-Saharan Africa
,Nigeria,9.082,8.6753,NGA,2,Africa,202,Sub-Saharan Africa
,North Macedonia,41.6086,21.7453,MKD,150,Europe,39,Southern Europe
,Norway,60.472,8.4689,NOR,150,Europe,154,Northern Europe
,Oman,21.512583,55.923255,OMN,142,Asia,145,Western Asia
,Pakistan,30.3753,69.3451,PAK,142,Asia,34,Southern Asia
,Palau,7.515,134.5825,PLW,9,Oceania,57,Micronesia
,Panama,8.538,-80.7821,PAN,19,Americas,419,Latin America and the Caribbean
,Papua New Guinea,-6.314993,143.95555,PNG,9,Oceania,54,Melanesia
,Paraguay,-23.4425,-58.4438,PRY,19,Americas,419,Latin America and the Caribbean
,Peru,-9.19,-75.0152,PER,19,Americas,419,Latin America and the Caribbean
,Philippines,12.879721,121.774017,PHL,142,Asia,35,South-eastern Asia
,Poland,51.9194,19.1451,POL,150,Europe,151,Eastern Europe
,Portugal,39.3999,-8.2245,PRT,150,Europe,39,Southern Europe
,Qatar,25.3548,51.1839,QAT,142,Asia,145,Western Asia
,Romania,45.9432,24.9668,ROU,150,Europe,151,Eastern Europe
,Russia,61.52401,105.318756,RUS,150,Europe,151,Eastern Europe
,Rwanda,-1.9403,29.8739,RWA,2,Africa,202,Sub-Saharan Africa
,Saint Kitts and Nevis,17.357822,-62.782998,KNA,19,Americas,419,Latin America and the Caribbean
,Saint Lucia,13.9094,-60.9789,LCA,19,Americas,419,Latin America and the Caribbean
,Saint Vincent and the Grenadines,12.9843,-61.2872,VCT,19,Americas,419,Latin America and the Caribbean
,Samoa,-13.759,-172.1046,WSM,9,Oceania,61,Polynesia
,San Marino,43.9424,12.4578,SMR,150,Europe,39,Southern Europe
,Sao Tome and Principe,0.1864,6.6131,STP,2,Africa,202,Sub-Saharan Africa
,Saudi Arabia,23.885942,45.079162,SAU,142,Asia,145,Western Asia
,Senegal,14.4974,-14.4524,SEN,2,Africa,202,Sub-Saharan Africa
,Serbia,44.0165,21.0059,SRB,150,Europe,39,Southern Europe
,Seychelles,-4.6796,55.492,SYC,2,Africa,202,Sub-Saharan Africa
,Sierra Leone,8.460555,-11.779889,SLE,2,Africa,202,Sub-Saharan Africa
,Singapore,1.2833,103.8333,SGP,142,Asia,35,South-eastern Asia
,Slovakia,48.669,19.699,SVK,150,Europe,151,Eastern Europe
,Slovenia,46.1512,14.9955,SVN,150,Europe,39,Southern Europe
,Solomon Islands,-9.6457,160.1562,SLB,9,Oceania,54,Melanesia
,Somalia,5.152149,46.199616,SOM,2,Africa,202,Sub-Saharan Africa
,South Africa,-30.5595,22.9375,ZAF,2,Africa,202,Sub-Saharan Africa
,South Sudan,6.877,31.307,SSD,2,Africa,202,Sub-Saharan Africa
,Spain,40.463667,-3.74922,ESP,150,Europe,39,Southern Europe
,Sri Lanka,7.873054,80.771797,LKA,142,Asia,34,Southern Asia
,Sudan,12.8628,30.2176,SDN,2,Africa,15,Northern Africa
,Summer Olympics 2020,35.6491,139.7737,,,,,
,Suriname,3.9193,-56.0278,SUR,19,Americas,419,Latin America and the Caribbean
,Sweden,60.128161,18.643501,SWE,150,Europe,154,Northern Europe
,Switzerland,46.8182,8.2275,CHE,150,Europe,155,Western Europe
,Syria,34.802075,38.996815,SYR,142,Asia,145,Western Asia
,Taiwan*,23.7,121,TWN,142,Asia,30,Eastern Asia
,Tajikistan,38.861,71.2761,TJK,142,Asia,143,Central Asia
,Tanzania,-6.369028,34.888822,TZA,2,Africa,202,Sub-Saharan Africa
,Thailand,15.870032,100.992541,THA,142,Asia,35,South-eastern Asia
,Timor-Leste,-8.874217,125.727539,TLS,142,Asia,35,South-eastern Asia
,Togo,8.6195,0.8248,TGO,2,Africa,202,Sub-Saharan Africa
,Trinidad and Tobago,10.6918,-61.2225,TTO,19,Americas,419,Latin America and the Caribbean
,Tunisia,33.886917,9.537499,TUN,2,Africa,15,Northern Africa
,Turkey,38.9637,35.2433,TUR,142,Asia,145,Western Asia
,US,40,-100,USA,19,Americas,21,Northern America
,Uganda,1.373333,32.290275,UGA,2,Africa,202,Sub-Saharan Africa
,Ukraine,48.3794,31.1656,UKR,150,Europe,151,Eastern Europe
,United Arab Emirates,23.424076,53.847818,ARE,142,Asia,145,Western Asia
Anguilla,United Kingdom,18.2206,-63.0686,AIA,19,Americas,419,Latin America and the Caribbean
Bermuda,United Kingdom,32.3078,-64.7505,BMU,19,Americas,21,Northern America
British Virgin Islands,United Kingdom,18.4207,-64.64,VGB,19,Americas,419,Latin America and the Caribbean
Cayman Islands,United Kingdom,19.3133,-81.2546,CYM,19,Americas,419,Latin America and the Caribbean
Channel Islands,United Kingdom,49.3723,-2.3644,,150,Europe,154,Northern Europe
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,FLK,19,Americas,419,Latin America and the Caribbean
Gibraltar,United Kingdom,36.1408,-5.3536,GIB,150,Europe,39,Southern Europe
Isle of Man,United Kingdom,54.2361,-4.5481,IMN,150,Europe,154,Northern Europe
Montserrat,United Kingdom,16.742498,-62.187366,MSR,19,Americas,419,Latin America and the Caribbean
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,GBR,150,Europe,154,Northern Europe
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,TCA,19,Americas,419,Latin America and the Caribbean
,United Kingdom,55.3781,-3.436,GBR,150,Europe,154,Northern Europe
,Uruguay,-32.5228,-55.7658,URY,19,Americas,419,Latin America and the Caribbean
,Uzbekistan,41.377491,64.585262,UZB,142,Asia,143,Central Asia
,Vanuatu,-15.3767,166.9592,VUT,9,Oceania,54,Melanesia
,Venezuela,6.4238,-66.5897,VEN,19,Americas,419,Latin America and the Caribbean
,Vietnam,14.058324,108.277199,VNM,142,Asia,35,South-eastern Asia
,West Bank and Gaza,31.9522,35.2332,PSE,142,Asia,145,Western Asia
,Yemen,15.552727,48.516388,YEM,142,Asia,145,Western Asia
,Zambia,-13.133897,27.849332,ZMB,2,Africa,202,Sub-Saharan Africa
,Zimbabwe,-19.015438,29.154857,ZWE,2,Africa,202,Sub-Saharan Africa
